Benchmark, NVars, Approx count, Approx time, Approx max, Approx min,  (max-min)/max
baital_sparclite_sim,1168,2475023.4,2.6286755084991453,2485785,2465001,0.008361141450286328
baital_stb,1252,2817855.5,2.662490797042847,2834768,2804163,0.010796297968652108
baital_stdeval1,1190,2586327.4,2.4926339387893677,2596012,2576994,0.007325852114705171
baital_stm3210e_eval,1269,2916266.4,2.5526296377182005,2925390,2905580,0.0067717466730931606
baital_tire-1,352,139685.2,6.582703542709351,141114,138714,0.017007525830179854
baital_ts1000,1297,3084934.1,2.429427146911621,3094123,3076846,0.005583811632569229
baital_ts6,1240,2830868.8,2.43705575466156,2837411,2820058,0.006115786539207749
baital_tutorial1.sk_1_1,67,2277.0,5.670935750007629,2277,2277,0.0
baital_tx39_sim,1179,2508453.5,2.632052683830261,2518572,2497551,0.008346396291231697
baital_uClinux,1850,3009136.0,9.23057200908661,3034868,2981936,0.01744128574949553
baital_uClinux-config,11254,127368325.1,9.567805933952332,128823666,125548150,0.02542635294977555
baital_uE250,1249,2841106.0,2.6187360763549803,2847251,2825067,0.007791374908639948
baital_vads,1240,2830174.9,2.410292148590088,2843485,2816587,0.009459518865054677
baital_viper,1301,3098153.2,2.4581624031066895,3112863,3086500,0.008469052444646616
baital_vrc4373,1247,2775272.7,2.708453059196472,2785311,2766708,0.006678966908901735
baital_vrc4375,1258,2865461.4,2.594617247581482,2876303,2854870,0.007451579336391194
quick_4step,165,26367.2,7.4834959506988525,26636,26144,0.01847124192821745
quick_XSEngine,1260,1572972.9,8.196053075790406,1596284,1547906,0.030306637164815284
quick_aaed2000,1284,1556234.5,8.656838512420654,1578433,1541405,0.0234587087320146
quick_adder,1272,1587768.4,8.417471504211425,1604386,1560195,0.027543870365360955
quick_adderII,1276,1570835.1,8.210333871841431,1583625,1536583,0.029705264819638488
quick_aeb,1213,1510788.9,7.88946270942688,1524372,1498634,0.016884330071662297
quick_aim711,1264,1569582.4,8.026292324066162,1581195,1551262,0.01893061893061893
quick_aki3068net,1207,1318437.7,8.697563862800598,1335044,1304791,0.022660676352240075
quick_am31_sim,1165,1260805.1,8.938804030418396,1276489,1246775,0.023277913088166055
quick_asb,1231,1525057.7,8.088225245475769,1537816,1508400,0.019128426287670308
