Benchmark,twise,seed,BLMMaxCov Time, ApproxMaxCov Time, Strategy 1 Time, Strategy 3 Time, Strategy 1 Coverage, Strategy 3 Coverage
at91sam7xek.cnf,2,3,16724.563605547,2796.69771933556,1500.45859360695,1283.72609996796,0.924712432202621,0.925388075120056
at91sam7xek.cnf,2,4,16724.563605547,2796.69771933556,1209.50526356697,1289.25021290779,0.921551455149617,0.92065795313139
at91sam7xek.cnf,2,5,16724.563605547,2796.69771933556,1518.52604722977,1400.44486379623,0.923063105172802,0.923081130604822
at91sam7xek.cnf,2,6,16724.563605547,2796.69771933556,1324.34664583206,1280.46991109848,0.920938590460941,0.924340113796417
at91sam7xek.cnf,2,7,16724.563605547,2796.69771933556,1298.8052957058,1267.2451915741,0.922671518201335,0.923716993258488
at91sam7xek.cnf,2,8,16724.563605547,2796.69771933556,1332.2636282444,1413.05471611023,0.919816351926048,0.926049732788509
at91sam7xek.cnf,2,9,16724.563605547,2796.69771933556,1350.48276305199,1394.98705482483,0.923364254200858,0.92416980454216
at91sam7xek.cnf,2,10,16724.563605547,2796.69771933556,1242.75478720665,1421.97960805893,0.922039384947397,0.923534252671804
atlas_mips32_4kc.cnf,2,1,13111.7109162807,2289.40461039543,698.883876562119,762.692615032196,0.921483403525169,0.921546337461896
atlas_mips32_4kc.cnf,2,2,13111.7109162807,2289.40461039543,737.276120185852,732.379343271256,0.924874964011915,0.923039029168071
atlas_mips32_4kc.cnf,2,3,13111.7109162807,2289.40461039543,722.371904373169,646.942306995392,0.923962783618658,0.921555018004893
atlas_mips32_4kc.cnf,2,4,13111.7109162807,2289.40461039543,693.867302656174,651.33528637886,0.925346968537372,0.926129664164259
atlas_mips32_4kc.cnf,2,5,13111.7109162807,2289.40461039543,708.00509095192,667.76278424263,0.923971102472363,0.924357024946434
atlas_mips32_4kc.cnf,2,6,13111.7109162807,2289.40461039543,702.614410877228,697.123485803604,0.920402314232763,0.922560152546076
atlas_mips32_4kc.cnf,2,7,13111.7109162807,2289.40461039543,687.956118345261,687.00022983551,0.920029412573188,0.920294892513176
atlas_mips32_4kc.cnf,2,8,13111.7109162807,2289.40461039543,721.103457212448,731.439157009125,0.922553280449536,0.922091041534952
atlas_mips32_4kc.cnf,2,9,13111.7109162807,2289.40461039543,708.505765676498,702.900039434433,0.922608980600433,0.921728628864831
atlas_mips32_4kc.cnf,2,10,13111.7109162807,2289.40461039543,693.800290107727,698.662255525589,0.921899346210437,0.921829901866461
atlas_mips64_5kc.cnf,2,1,12889.5004200935,1883.48631000519,1411.93139052391,1410.46775364876,0.919626810657909,0.919213563014592
atlas_mips64_5kc.cnf,2,2,12889.5004200935,1883.48631000519,1616.42883396149,1523.33060002327,0.926208758507448,0.92676915013005
atlas_mips64_5kc.cnf,2,3,12889.5004200935,1883.48631000519,1500.27594041824,1348.89583563805,0.925337973615108,0.925658981749022
atlas_mips64_5kc.cnf,2,4,12889.5004200935,1883.48631000519,1426.2958381176,1315.32219338417,0.922137043020947,0.921417794465483
atlas_mips64_5kc.cnf,2,5,12889.5004200935,1883.48631000519,1501.96998739243,1336.29469919205,0.922878619394162,0.924879704306487
atlas_mips64_5kc.cnf,2,6,12889.5004200935,1883.48631000519,1463.88856506348,1475.34458303452,0.922265153450673,0.92643679507236
atlas_mips64_5kc.cnf,2,7,12889.5004200935,1883.48631000519,1328.13373041153,1396.2791492939,0.92304369883361,0.922209882950991
atlas_mips64_5kc.cnf,2,8,12889.5004200935,1883.48631000519,1373.08410620689,1364.56210112572,0.923831760991326,0.92390460092137
atlas_mips64_5kc.cnf,2,9,12889.5004200935,1883.48631000519,1447.5467813015,1413.18356823921,0.922267349629468,0.92245841718466
atlas_mips64_5kc.cnf,2,10,12889.5004200935,1883.48631000519,1378.88591122627,1475.55372810364,0.921518452660268,0.922523570488921
axtls.cnf,2,1,2.84819364547729,4.12793135643005,0.979816913604736,2.19065093994141,0.984209227732544,0.991734517641253
axtls.cnf,2,2,2.84819364547729,4.12793135643005,0.904393911361694,2.47865176200867,0.989822353811991,0.984517641253393
axtls.cnf,2,3,2.84819364547729,4.12793135643005,1.10740661621094,2.20899295806885,0.995743893412287,0.991549469528744
axtls.cnf,2,4,2.84819364547729,4.12793135643005,0.978203773498535,2.23012709617615,0.984826054774241,0.989637305699482
axtls.cnf,2,5,2.84819364547729,4.12793135643005,1.00477337837219,2.17494225502014,0.984579323957562,0.987046632124352
axtls.cnf,2,6,2.84819364547729,4.12793135643005,0.936171531677246,2.2623188495636,0.981618554157414,0.991179373303726
axtls.cnf,2,7,2.84819364547729,4.12793135643005,0.909799337387085,2.267573595047,0.992166296570442,0.996545768566494
axtls.cnf,2,8,2.84819364547729,4.12793135643005,0.94780969619751,2.55633997917175,0.989637305699482,0.988280286207747
axtls.cnf,2,9,2.84819364547729,4.12793135643005,0.980335474014282,4.54707312583923,0.989205526770294,0.991857883049593
axtls.cnf,2,10,2.84819364547729,4.12793135643005,1.43560719490051,2.63014674186707,0.988773747841105,0.995250431778929
brutus.cnf,2,1,13881.4870922565,2353.86417913437,798.789807796478,895.917206287384,0.919085421152932,0.920233493419378
brutus.cnf,2,2,13881.4870922565,2353.86417913437,926.140050411224,879.226583480835,0.921400815236637,0.92443534348281
brutus.cnf,2,3,13881.4870922565,2353.86417913437,847.685201644898,747.447715759277,0.917661680790873,0.918631785512062
brutus.cnf,2,4,13881.4870922565,2353.86417913437,799.910679578781,761.999083995819,0.916951263406132,0.923402768521246
brutus.cnf,2,5,13881.4870922565,2353.86417913437,848.30875658989,780.899885177612,0.918029601450762,0.919873926338143
brutus.cnf,2,6,13881.4870922565,2353.86417913437,810.524483203888,762.484836339951,0.920289062877387,0.91875055160859
brutus.cnf,2,7,13881.4870922565,2353.86417913437,808.114179611206,797.330210208893,0.919025130106988,0.919101401912098
brutus.cnf,2,8,13881.4870922565,2353.86417913437,810.013873100281,806.054138183594,0.921965226594453,0.923930859971867
brutus.cnf,2,9,13881.4870922565,2353.86417913437,821.662450790405,833.046369075775,0.914491316091789,0.915491929535022
brutus.cnf,2,10,13881.4870922565,2353.86417913437,793.553212404251,833.522898674011,0.918155268329658,0.918506845031309
buildroot.cnf,2,1,547.640323162079,535.101783514023,21.5246427059174,21.2296957969666,0.987982680638048,0.987982680638048
buildroot.cnf,2,2,547.640323162079,535.101783514023,21.1334722042084,22.208657503128,0.987982680638048,0.987982680638048
