Benchmark,twise,BLMMaxCov Time, ApproxMaxCov Time, Strategy 1 Mean Time, Strategy 3 Mean Time, Strategy 1 Max Coverage, Strategy 3 Max Coverage, Strategy 1 Mean Coverage, Strategy 3 Mean Coverage
sam7ex256.cnf,2,17065.9926123619,2461.23252749443,1448.45864095688,1411.12905545235,0.925967357220519,0.924914840576946,0.923044978016181,0.923049407075114
se7751.cnf,2,15179.8692238331,2546.82007813454,2608.55602171421,2590.27618796825,0.926221401007323,0.943555145947498,0.923306016730469,0.928791973538092
sh4_202_md.cnf,2,14500.3414034843,2172.39816832542,1546.97880818844,1538.30107631683,0.922606570903207,0.935528442099582,0.91966006195158,0.921292241290873
sh7708.cnf,2,-1,2840.68964791298,-1,3553.44965240955,-1,2694730,-1,2665228.2
skmb91302.cnf,2,12932.3703472614,2317.93289279938,1391.66090538502,1375.16646945477,0.925543658120254,0.937390774867043,0.922741725016837,0.924947927552892
sleb.cnf,2,12225.7124853134,1938.63012552261,744.464671182632,715.272567462921,0.923720832418989,0.924308679565016,0.921397788506083,0.921150839368005
smdk2410.cnf,2,-1,3182.68613839149,-1,2877.61412575245,-1,2814250,-1,2754443.9
snds.cnf,2,13813.2027027607,2063.47438931465,1168.08542840481,1184.66729168892,0.923666935056833,0.936284899788915,0.922646508389006,0.925552375978355
sparc_erc32.cnf,2,11579.0230395794,1860.37290835381,946.926353025436,954.91607735157,0.924024638226654,0.938332627106942,0.92061857541117,0.925074311587084
sparc_leon.cnf,2,11654.6047854424,1765.34371829033,949.222434186935,926.353530740738,0.924024638226654,0.923809219450185,0.92061857541117,0.92053221063064
sparclite_sim.cnf,2,11391.3969388008,2094.64766860008,969.135214447975,936.362372255325,0.924024638226654,0.943414300808254,0.92061857541117,0.92291377173027
stb.cnf,2,14094.6122460365,2447.99431753159,1360.7091994524,1378.50419983864,0.929135559005359,0.940150208176767,0.924808519887875,0.926735594935737
stdeval1.cnf,2,11984.5106012821,1781.65444922447,860.989619612694,827.185663056374,0.920549163187859,0.935856424569977,0.91894053402297,0.924546249037602
stm3210e_eval.cnf,2,14149.7123351097,2190.63292789459,628.234149265289,618.124361038208,0.928211020931795,0.937743539078431,0.924724097228556,0.928440038373736
toybox.cnf,2,180.659048318863,136.225006103516,8.88570129871368,35.1936592578888,1,1,1,0.999714613207326
ts1000.cnf,2,14979.1288332939,2382.90885305405,1273.28108899593,1248.20327153206,0.925448159717815,0.926442702048378,0.9228969534169,0.923418661908018
ts6.cnf,2,13924.0238156319,2349.12894630432,1146.36911489964,1135.48734827042,0.92166829401683,0.921484612909329,0.919936339995111,0.92030560116893
tx39_sim.cnf,2,12321.9433217049,1893.18823027611,767.520700097084,770.372505187988,0.923266329391193,0.938595017408268,0.920088231450627,0.923752601906042
uClinux-config.cnf,2,-1,-1,-1,-1,-1,-1,-1,-1
uClinux.cnf,2,5154.13215208054,1660.95681476593,84.5213912248611,128.82685379982,1,1,1,1
uE250.cnf,2,14505.7198805809,2217.26751828194,1558.01448745728,1598.07294809818,0.925470453378341,0.927288542204473,0.92395014960096,0.924921398155578
vads.cnf,2,14255.2512001991,2103.9220252037,3084.2602408886,3188.76346817017,0.922994457802373,0.922909522553416,0.919457595213795,0.920304358214067
viper.cnf,2,15461.7099480629,2395.49272370338,964.385071253777,936.170513939858,0.926836801995446,0.925836314006172,0.923124784167655,0.923263388204108
vrc4373.cnf,2,13712.2593705654,2128.54279899597,1272.6184445858,1276.99447648525,0.920901986437686,0.931926349861385,0.919262077278357,0.921534376732253
vrc4375.cnf,2,13893.6610217094,2326.70085740089,2365.16601004601,2341.15401704311,0.921719706349538,0.924445565670542,0.920214471540991,0.92086348406115
