Benchmark, twise, seed, Strategy 1 Coverage, Strategy 3 Coverage
h8s_sim.cnf,2,20,0.9194463948933701,0.9259229169689056
h8s_sim.cnf,2,21,0.916207940422651,0.9172466753711495
h8s_sim.cnf,2,22,0.9386929735480439,0.9446197591759756
h8s_sim.cnf,2,23,0.9200572561535858,0.9219513516127472
h8s_sim.cnf,2,24,0.9225625997388656,0.924945306833019
h8s_sim.cnf,2,25,0.9254954301465255,0.923234585811693
h8s_sim.cnf,2,26,0.9272061511678514,0.9164524396730983
h8s_sim.cnf,2,27,0.9232957106243048,0.919140770830311
h8s_sim.cnf,2,28,0.9223181004884182,0.9189573963924754
h8s_sim.cnf,2,29,0.9225625997388656,0.9260451665941293
h8s_sim.cnf,2,30,0.9169410513080903,0.9361880168286668
h8s_sim.cnf,2,31,0.9233568354369167,0.943153537405097
h8s_sim.cnf,2,32,0.9254954301465255,0.9214627399777552
h8s_sim.cnf,2,33,0.9167580637361574,0.9215238647903671
h8s_sim.cnf,2,34,0.9190796460176991,0.9160245659848155
h8s_sim.cnf,2,35,0.9256176797717491,0.9242121959475796
h8s_sim.cnf,2,36,0.9199961313409739,0.9286723729387301
h8s_sim.cnf,2,37,0.9194463948933701,0.9350881570675564
h8s_sim.cnf,2,38,0.9264119154698003,0.9229289617486339
h8s_sim.cnf,2,39,0.9193852700807582,0.9195686445185938
h8s_sim.cnf,2,40,0.9188962715798636,0.9276947628028435
h8s_sim.cnf,2,41,0.92531205570869,0.9446197591759756
h8s_sim.cnf,2,42,0.9246400696358624,0.9220736012379709
h8s_sim.cnf,2,43,0.9221347260505827,0.9193241452681464
h8s_sim.cnf,2,44,0.9245178200106388,0.9298944823250641
h8s_sim.cnf,2,45,0.92237922530103,0.9273284007930751
h8s_sim.cnf,2,46,0.9194463948933701,0.9155359543498235
h8s_sim.cnf,2,47,0.920301755404033,0.9290391218144011
h8s_sim.cnf,2,48,0.9237231974466851,0.9196297693312055
h8s_sim.cnf,2,49,0.9116866386188888,0.9215238647903671
h8s_sim.cnf,2,50,0.9163913148604865,0.9118088882441124
mbx.cnf,2,1,0.922015426760951,0.921666808355676
mbx.cnf,2,2,0.923024167915433,0.92542516219162
mbx.cnf,2,3,0.914561527500568,0.924495407372819
mbx.cnf,2,4,0.920786538952,0.914112986622443
mbx.cnf,2,5,0.92126521517908,0.920908983633016
mbx.cnf,2,6,0.920766237243231,0.920087081642053
mbx.cnf,2,7,0.910019654591802,0.921198282982981
mbx.cnf,2,8,0.922413213367153,0.924095400267221
mbx.cnf,2,9,0.921196696911983,0.920610802285465
mbx.cnf,2,10,0.922420192079542,0.924189612884479
mbx.cnf,2,11,0.9105084816732668,0.9221562698655392
mbx.cnf,2,12,0.9232969721270227,0.9205353053059785
mbx.cnf,2,13,0.9196946876772434,0.9231167944616938
mbx.cnf,2,14,0.9195744634956243,0.9257585543153185
mbx.cnf,2,15,0.9265392184603438,0.9259990026785567
mbx.cnf,2,16,0.9157320478968064,0.9231770651596032
mbx.cnf,2,17,0.9197546411609532,0.9229369340105645
