Benchmark, twise, seed, approx combinations, approx coverage
atlas_mips64_5kc.cnf,4,7,1123072746290,0.9982753534290421353237522556
atlas_mips64_5kc.cnf,4,8,1122393973346,0.9976720066709553703320848433
atlas_mips64_5kc.cnf,4,9,1123450585416,0.9986112065501271099726814155
atlas_mips64_5kc.cnf,4,10,1123315722483,0.9984913297722872103975769786
brutus.cnf,4,1,1143843177000,0.9983945384817136819941369640
brutus.cnf,4,2,1142525939042,0.9972447976696932550446386078
brutus.cnf,4,3,1143617066611,0.9981971798035217538098922486
brutus.cnf,4,4,1142902789691,0.9975737288005950301187331138
brutus.cnf,4,5,1142655227803,0.9973576463498838504229959418
brutus.cnf,4,6,1143682580647,0.9982543632155938917158246599
brutus.cnf,4,7,1142843073357,0.9975216058672047041237857036
brutus.cnf,4,8,1143737658819,0.9983024377656896313217720811
brutus.cnf,4,9,1142545071460,0.9972614972505652133616310699
brutus.cnf,4,10,1143502272106,0.9980969823209085303595273877
buildroot.cnf,4,1,62741429271,0.9983130284031635290533861119
buildroot.cnf,4,2,62723615266,0.9980295800742654958257558062
buildroot.cnf,4,3,62756388807,0.9985510577222464623071901695
buildroot.cnf,4,4,62730751440,0.9981431276226705621412840363
buildroot.cnf,4,5,62750336274,0.9984547525755683177941888014
buildroot.cnf,4,6,62739209128,0.9982777024995688760719767752
buildroot.cnf,4,7,62735403169,0.9982171438145115613555500868
buildroot.cnf,4,8,62753428616,0.9985039565121497435806526962
buildroot.cnf,4,9,62747719677,0.9984131184766079993790251268
buildroot.cnf,4,10,62719888597,0.9979702830155520787928999266
busybox_1_28_0.cnf,4,1,638833913136,0.9995135568811431846314245590
busybox_1_28_0.cnf,4,2,638622988310,0.9991835458740022491878043299
busybox_1_28_0.cnf,4,3,638771876422,0.9994164948194831021439873937
busybox_1_28_0.cnf,4,4,638427831149,0.9988782048078331312478364691
busybox_1_28_0.cnf,4,5,638984610652,0.9997493368031747298098471624
busybox_1_28_0.cnf,4,6,638580596556,0.9991172201327544608470623556
busybox_1_28_0.cnf,4,7,638574651371,0.9991079183519887904167575828
busybox_1_28_0.cnf,4,8,638952558350,0.9996991880716820916724976047
busybox_1_28_0.cnf,4,9,638971944823,0.9997295199657552936206290523
busybox_1_28_0.cnf,4,10,638817886985,0.9994884825153968655627497802
calm16_ceb.cnf,4,1,980232719110,1.000178427481628450358674742
calm16_ceb.cnf,4,2,979868833158,0.9998071372031479853533679771
calm16_ceb.cnf,4,3,980430214878,1.000379941880017298602039146
calm16_ceb.cnf,4,4,980107309297,1.000050465838325020386009666
calm16_ceb.cnf,4,5,980264318433,1.000210669785493107829411302
calm16_ceb.cnf,4,6,980386765809,1.000335608712330938071232892
calm16_ceb.cnf,4,7,979367193908,0.9992952906319749613260119231
calm16_ceb.cnf,4,8,980253456166,1.000199586493826604679622770
calm16_ceb.cnf,4,9,980127552614,1.000071121064955748717643176
calm16_ceb.cnf,4,10,980983696767,1.000944685980665360500113143
calm32_ceb.cnf,4,1,980666716060,0.9967989640826255205058140774
calm32_ceb.cnf,4,2,980082622326,0.9962052618396070774385418443
calm32_ceb.cnf,4,3,980455889328,0.9965846691905720334749104707
calm32_ceb.cnf,4,4,980180876471,0.9963051322934003025903220391
calm32_ceb.cnf,4,5,980219881885,0.9963447793576190448880683514
calm32_ceb.cnf,4,6,979873276813,0.9959924725330298789363928739
calm32_ceb.cnf,4,7,979685655833,0.9958017651342353586610635339
calm32_ceb.cnf,4,8,980529456501,0.9966594465646135530562875703
